material_design_section,system_design_aspect,property,constraint,relation,content
Foundations,Layout,Platform,soft,Layout Adjusting window sizes,"By default multiple windows are created as a 50/50 side-by-side split.

The windows can be adjusted further to 1:3 or 2:3 proportions. These ratios provide a primary and secondary window dynamic, offering greater flexibility and allowing focus on one application as needed.

When in a multi-window mode, the available screen area often changes from medium or expanded window class to compact. Layouts should adapt accordingly.

2 apps appear side-by-side with the left-side app using two-thirds of the screen, and the right app one-third.
The screen handle can be dragged and released to create the desired window ratio. The handle automatically adjusts to the closest snap point."
Styles,Typography,Text,hard,Font Adjustable axes,"Be careful of using excessively lighter weight type for body text. Lower resolution displays can struggle with rendering more delicate typography, especially at small sizes. Instead, consider lighter weights at larger font sizes, such as display type."
Styles,Typography,Text,hard,Font Adjustable axes,"Excessive weight at smaller sizes may affect legibility"
Styles,Typography,Text,hard,Font Width,"Do,A thinner width can allow for more characters to fit at small sizes, such as in a label"
Styles,Typography,Text,hard,Font Width,"Don’t,Styles,Typography,Text,hard,Font Width, A thinner width can allow for more characters to fit at small sizes, such as in a label"
Styles,Typography,Text,hard,Font Optical size,"Do,Use an optical size that matches your type size"
Styles,Typography,Text,hard,Font Optical size,"Don’t,Don’t use large optical type sizes at small sizes. Instead use a smaller optical size, if available."
Styles,Typography,Text,soft,Font Applying type Headline,"Headlines are best-suited for short, high-emphasis text on smaller screens. These styles can be good for marking primary passages of text or important regions of content.
Headlines can also make use of expressive typefaces, provided that appropriate line height and letter spacing is also integrated to maintain readability.
Example expressive headline typeface on phone screen
Expressive typefaces can be used for headlines styles as well
The name Ana Russo in headline style in a contact card
Headline style used for short text on a small screen
Headline style set above body text
Dialog using a headline style"
Styles,Typography,Text,soft,Font Applying type Title,"Titles are smaller than headline styles, and should be used for medium-emphasis text that remains relatively short. For example, consider using title styles to divide secondary passages of text or secondary regions of content.

For titles, use caution when using expressive fonts, including display, handwritten, and script styles.

An article card using title style for the article title
A news article title using the title style to capture attention
Top app bar using title style for the contact name, Aki Aro
Top app bar using title style

Title style stating ‘Top News’ above headlines
Example of title style applied to a category header: Top News"
Styles,Typography,Text,soft,Font Applying type Body,"Body styles are used for longer passages of text in your app. 

Use typefaces intended for body styles, which are readable at smaller sizes and can be comfortably read in longer passages.

Avoid expressive or decorative fonts for body text because these can be harder to read at small sizes.

Body-style typeface
Body styles must be readable for long passages

 Body style text in  article
Body style used throughout an article about pesto

Three stacked examples of body style in app setup flow
Example of body style used throughout a setup flow"
Styles,Typography,Text,soft,Font Applying type Body,"Label styles are smaller, utilitarian styles, used for things like the text inside components or for very small text in the content body, such as captions. 

Buttons, for example, use the label large style.

 Several label-style buttons on device screen.
Label styles should enable quick reading at small sizes, such as in buttons
Music player timecode featuring label style
A music player using label style for the timecode

Five labels set horizontally across the navigation bar
A navigation bar using label style for the destination text"
Styles,Typography,Text,soft,Font Typesetting Using padding and bounding boxes,"Use this method for web products, and iOS products, where applicable. Note that some design tools also use bounding boxes for typesetting, but their methods vary and will need to be reconciled with the engineering implementation.

In web UIs, the line height and bounding box height are the same. Text is vertically centered within the bounding box, following the “half-leading” behavior established by CSS.

The vertical position of the text isn’t controlled directly, but through the combination of the bounding box and font metrics.

Diagram of bounding box equaling line height
The bounding box height is defined by the line height specified, with equal space placed above and below the text

Padding is the space between UI elements, such as between an image and a bounding box, or between the inner edge of the bounding box and the text.

Diagram of 20 dp padding above text
The padding surrounding the text bounding box

Specify the distance of UI elements from fixed reference points, such as the container edge. For the web, automate this calculation using Sass or CSS."
Styles,Typography,Text,hard,Font Typesetting Using padding and bounding boxes,"Do,Use line-height, padding, and container measurements for setting typography on the web and iOS"
Styles,Typography,Text,soft,Font Typesetting Using padding and bounding boxes,"Vertical alignment using padding and bounding boxes:

Line height
Measure the height of the bounding box
Centering
Ensure equal top and bottom padding around the inner edge of the bounding box by using center align
Spacing
Use the height of the bounding box, and top and bottom padding to determine spacing
Diagram of using padding and bounding boxes to measure line height, alignment, and spacing."
Styles,Typography,Text,soft,Font Typesetting Using the baseline,"Vertical alignment using the baseline:
Line height
Measure distance from the text baseline of one line to the text baseline of the next line
Centering
Specify center alignment as a reference instead of measuring the distance to the text baseline
Spacing
Use the distance from a reference point to the text baseline"
Styles,Typography,Text,hard,Font Typesetting Using the baseline,"Do,Android screens rely on distance to baselines for spacing"
Styles,Typography,Text,soft,Font Ensuring readability,"Line height

Line height is the space between each line of text and is directly connected to type size.

Material’s type tokens are optimized for intended size and use.

An example of larger type with a line height ratio of 1.2
For larger type legibility using styles like title, headline, and display, we recommend a line height ratio of 1.2 times the type size

An example of body type with a line height ratio of 1.5
For smaller body copy using styles like body and label, we recommend a line height ratio around 1.5 times the type size. If your line height is too tight, you’ll undermine the flow of the text. Too loose, and the lines won’t feel cohesive.
Tabular numbers 

 Use tabular figures (also known as monospaced numbers) rather than proportional digits in tables or places where values may change often, such as clocks.

Use monospaced tabular numbers to keep values optically aligned for better scanning.

Vertical view showing the spacing variation in proportional numbers versus monospacing of tabular numbers
Proportional numbers
Monospaced tabular numbers
Times displayed in tabular numbers
Use tabular numbers to prevent layout shifting when values change, such as in a clock UI"
Styles,Typography,Text,hard,Font Using Material Symbols with typography,"Do,Use the same size for your Material Symbols and text"
Styles,Typography,Text,hard,Font Using Material Symbols with typography,"Don’t,Don’t mix the sizes of your symbol and text"
Styles,Typography,Text,hard,Font Using Material Symbols with typography,"Do,Use the same weight for your symbol and text"
Styles,Typography,Text,hard,Font Using Material Symbols with typography,"Don’tDon’t use the different weights for Material Symbols and text"
Styles,Typography,Text,hard,Font Using Material Symbols with typography,"Do,Shift down the baseline of symbols to approximately 11.5% of the text size"
Styles,Typography,Text,hard,Font Using Material Symbols with typography,"Don’t,Don’t use the same baseline for Material Symbols and text"
Styles,Typography,Color,soft,Accessibility,"Color & contrast
Support visual accessibility by choosing the appropriate color contrast between your product’s text and background. Contrast is the perceived difference between the lightness or darkness of two colors, and is quantified by a contrast ratio. Key contrast ratios indicate levels of contrast that are sufficient for accessibility. 

Learn more about contrast and accessibility

Text should achieve sufficient contrast between its color and that of its background. Sufficient contrast depends on the size of the text and the level of accessibility required. 

Learn more about contrast requirements for text

Large text should achieve a contrast ratio of 4.5:1 for AAA-level accessibility
Small text should achieve a contrast ratio of 7:1 for AAA-level accessibility

The default color for typography is on surface, although on surface variant is a strong alternative.

Diagram showing the default color for text is 'on surface'.
Default typography colors

For hyperlinked text appearing on top of a surface color, use primary or tertiary.

Hyperlinked text must also be underlined.

Hyperlinks should be underlined and use primary or tertiary color"
Styles,Elevation,Clickable,soft,Depicting elevation,"To successfully depict elevation, a surface must show:

Surface edges, contrasting the surface from its surroundings
Overlap with other surfaces, either at rest or in motion
Distance from other surfaces
3 images. The first shows a purple square overlapping a white square. The second shows a purple square overlapping another purple square but with shadows beneath the top square. The third shows a purple square overlapping a dark gray square"
Styles,Elevation,Clickable,soft,Tonal difference,"Elevation, scrim, and tonal differences used to indicate separation.
A FAB's elevation helps separate it from body content
A scrim appears below a modal to communicate importance
Tonal differences between a top app bar and body content indicate separate surfaces"
Styles,Elevation,Clickable,hard,Tonal difference,"Do,Ensure floating elements have sufficient contrast with surfaces beneath"
Styles,Elevation,Clickable,hard,Tonal difference,"Don't,Don't use colors with insufficient contrast. The relationship between surfaces must be clear."
Styles,Elevation,Clickable,soft,Shadows,"Podcast app with each show displayed as a card separated from the background using small dark shadows
Smaller, sharper shadows indicate a surface’s close proximity to the surface behind it

Podcast app with each show displayed as a card separated from the background using more fuzzy and diffused shadows
Larger, softer shadows express more distance between a surface and the one behind it

When it comes to applying shadows, less is more. The fewer levels in your UI, the more power they have to direct attention and action."
Styles,Elevation,Clickable,soft,When to use visible shadows,"Protect elements

When a background is patterned or visually busy, the hairline style might not provide sufficient protection. In these cases, use elevation to separate and emphasize elements such as cards, chips, or buttons, as in the image below.

Buttons with shadows separating them from a background image
Interactive elements are emphasized with elevation

Encourage interaction

Elements can temporarily lift on focus, selection, or another kind of interaction, like swipe. A raised element can also lower when a higher element appears"
Styles,Color,Color,hard,Pairing and layering colors,"Do,Pair and layer color roles as intended to ensure expected visual results and accessibility. In this example, the two buttons mapped with (1) primary, (2) on primary, (3) secondary container, and (4) on secondary container stay legible as the contrast level changes."
Styles,Color,Color,hard,Pairing and layering colors,"Don't,Improper color mappings can produce unintended visual results and break accessibility. In this example, the two buttons mapped with (1) primary, (2) primary container, (3) secondary container, and (4) on surface become illegible as the contrast level changes."
Styles,Color,Color,soft,Primary,"Use primary roles for the most prominent components across the UI, such as the FAB, high-emphasis buttons, and active states.

Primary – High-emphasis fills, texts, and icons against surface

On primary – Text and icons against primary

Primary container – Standout fill color against surface, for key components like FAB

On primary container – Text and icons against primary container"
Styles,Color,Color,soft,Secondary,"Use secondary roles for less prominent components in the UI such as filter chips.

There are four secondary roles:

Secondary – Less prominent fills, text, and icons against surface

On secondary – Text and icons against secondary

Secondary container – Less prominent fill color against surface, for recessive components like tonal buttons

On secondary container – Text and icons against secondary container
4 color swatches: secondary, on secondary, secondary container, and on secondary container."
Styles,Color,Color,soft,Tertiary,"Use tertiary roles for contrasting accents that balance primary and secondary colors or bring heightened attention to an element such as an input field. 

There are four tertiary roles:

Tertiary – Complementary fills, text, and icons against surface

On tertiary – Text and icons against tertiary

Tertiary container – Complementary container color against surface, for components like input fields

On tertiary container – Text and icons against tertiary container
The tertiary color roles can be applied at the designer's discretion. They're intended to support broader color expression."
Styles,Color,Color,soft,Error,"Use error roles to communicate error states, such as an incorrect password entered into a text field.

There are four error roles:

Error – Attention-grabbing color against surface for fills, icons, and text, indicating urgency

On error – Text and icons against error

Error container – Attention-grabbing fill color against surface

On error container – Text and icons against error container
Error is an example of a static color (it doesn't change even in dynamic color schemes). Error color roles are made static by default with any dynamic color scheme."
Styles,Color,Color,soft,Surface,"Use surface roles for more neutral backgrounds, and container colors for components like cards, sheets, and dialogs.

There are three surface roles:

Surface – Default color for backgrounds

On surface – Text and icons against any surface color

On surface variant – Lower-emphasis color for text and icons against any surface color
3 color swatches: Surface, On surface and On surface variant.
Surface and on surface roles in light theme

There are also five surface container roles named based on their level of emphasis:

Surface container lowest – Lowest-emphasis container color

Surface container low – Low-emphasis container color

Surface container – Default container color

Surface container high – High-emphasis container color

Surface container highest – Highest-emphasis container color
Surface container is the default role, but the others are especially helpful for creating hierarchy and nested containers in layouts for expanded screens.

4 color swatches in light and dark theme: Surface container lowest, Surface container low, Surface container, Surface container high and Surface container highest.
The five surface container roles, shown in light and dark theme

The most common combination of surface roles uses surface for a background area and surface container for a navigation area.

Email app using Surface for the main background color and Surface Container for the navigation bar background
Surface
Surface container

All color mappings – but especially surface colors – should remain the same for layout regions across window size classes. For example, the body area will use the surface color and the navigation area will use the surface container color on both mobile and tablet.

Mobile and tablet screens both using Surface for main background and surface container for navigation background.
Surface
Surface container

Depending on necessary hierarchy, feature area, and design logic, you can use add-on surface colors in larger window class sizes as long as colors are consistently applied.

Mobile, foldable, and tablet screens showing how the body and navigation regions have the same color roles across window sizes.
In this example, the body and navigation regions have the same color roles across window size classes (surface and surface container, respectively) with the addition of other surface container colors at larger sizes.

By default, neutral-colored components such as navigation bars, menus, or dialogs are mapped to specific surface container roles, but these roles can be remapped by makers to suit user needs.

Surface container low applied to an elevated button and card, surface container applied to the top and bottom bar, surface container high applied to the FAB and basic dialog, surface container highest applied to an input label and off switch.
Default surface container roles applied to components:

Surface container low
Surface container 
Surface container high
Surface container highest"
Styles,Color,Color,soft,Inverse colors,"Inverse roles are applied selectively to components to achieve colors that are the reverse of those in the surrounding UI, creating a contrasting effect.

Inverse surface – Background fills for elements which contrast against surface

Inverse on surface – Text and icons against inverse surface

Inverse primary – Actionable elements, such as text buttons, against inverse surface
3 color swatches: Inverse surface, inverse on surface and inverse primary roles.
Inverse surface, inverse on surface, and inverse primary roles in the color scheme, shown in light theme

Snackbar component using inverse surface for its background, inverse on surface for its text and inverse primary of its text button, shown in light theme
A snackbar which uses:

Inverse surface for its background
Inverse on surface for its text
Inverse primary for its text button"
Styles,Color,Color,soft,Outline,"There are two outline colors to be used against surface:

Outline – Important boundaries, such as a text field outline

Outline variant – Decorative elements, such as dividers
2 color swatches: Outline and outline variant
Outline and outline variant roles in the color scheme, shown in light theme

Diagram comparing used of outline and outline variant.
A text field which uses outline for its container border
A list item which uses outline variant for its divider line"
Styles,Color,Color,hard,Outline,"Don’t,Don’t use the outline color for dividers since they have different contrast requirements. Instead, use outline variant."
Styles,Color,Color,hard,Outline,"Don’t,Don’t use the outline color for components that contain multiple elements, such as cards. Instead, use outline variant."
Styles,Color,Color,hard,Outline,"Don’t,Don’t use the outline variant color for clustered elements like chips, or other UI elements that are in close proximity to each other. Instead, use outline or another color providing 3:1 contrast with the surface color."
Styles,Color,Color,hard,Outline,"Don’t,Don’t use the outline variant color to create visual hierarchy or define the visual boundary of targets. Instead, use the outline color or another color providing 3:1 contrast with the surface color."
Styles,Color,Color,soft,Fixed accent colors,"Primary fixed, secondary fixed, and tertiary fixed are fill colors used against surface. These colors maintain the same tone in light and dark themes, as opposed to regular container colors, which change in tone between these themes. The fixed color role may be used instead of the equivalent container role in situations where such fixed behavior is desired.

The primary fixed dim, secondary fixed dim, and tertiary fixed dim roles provide a stronger, more emphasized tone relative to the equivalent fixed color. They may be used where a deeper color but the same fixed behavior is desired.

6 color swatches: Primary, secondary and tertiary fixed swatches, along with their darker Dim counterparts, shown in both light and dark theme.
Fixed and fixed dim color roles for the primary, secondary, and tertiary color groups, shown in both light and dark themes. Note how the colors stay the same between themes.

FAB in light and dark theme, using the primary fixed role for its container fill color.
A FAB which uses primary fixed (1) for its container fill color, shown in light and dark themes. Note how the container color stays the same between themes.

FAB in light and dark theme, using the primary container role for its container fill color.
For comparison, a FAB which uses primary container (2) for its container fill color, shown in light and dark themes. Note how the container color changes tone between themes.

2 email app screens using primary fixed and primary fixed dim.
Examples of fixed and fixed dim colors in use:

Primary fixed for a FAB container color
Primary fixed dim for an icon button container"
Styles,Color,Color,hard,Fixed accent colors,"Don’t,Similar to container roles, fixed colors do not pass minimum contrast requirements such as 3:1 for non-text contrast and 4.5:1 for text contrast. They should not be applied to elements requiring such contrast."
Styles,Color,Color,hard,Fixed accent colors,"Do,Use the primary, secondary, and tertiary roles for accent colors where minimum contrast is required"
Styles,Shape,all elements,soft,Shape scale,"The scale is a range of seven corner shape styles defining the amount of cut or roundedness: None, extra small, small, medium, large, extra large, and full.

Each role in the scale defines two things:

Shape family (rounded or cut)
Value
By default all roles use the rounded shape family. Most values are expressed in absolute dp measurements, except for the full style which is expressed in percentage.

Apply shape styles using tokens

Shape scale showing all 7 levels for rounded and cut corner styles
None 
Extra small 
Small 
Medium
Large 
Extra large
Full"
Styles,Shape,all elements,soft,Baseline shapes,"By default, every component is mapped to one of the seven shape styles.
Shape style
Component
None
Banners
Bottom app bars
Full-screen dialogs
Lists
Navigation bars
Navigation rails
Progress indicators
Search view (full-screen)
Side sheets (docked)
Tabs
Top app bars
Extra small
Autocomplete menu
Select menu
Snackbars
Standard menu
Text fields
Small
Chips
Rich tooltip
Medium
Cards
Small FABs
Large
Extended FABs
FABs
Navigation drawers
Extra large
Bottom sheets (docked)
Dialogs
Floating sheets
Large FABs
Search view (docked)
Time picker
Time input
Full
Badge
Buttons
Icon buttons
Sliders
Switches
Search bar"
Styles,Shape,all elements,soft,Symmetry,"Components can have either symmetric or asymmetric corner shapes. Symmetric shapes have the same values for all corners, while asymmetric shapes can have corners with different values. A shape token that ends with a “directional modifier” – such as top, bottom, start, or end – is always asymmetrical.
4 shapes illustrating symmetrical and asymmetrical styles
Extra small top  
Large top 
Extra large top
Large end
Tokens for asymmetrical shapes include a “directional modifier” like top, bottom, start, or end."
Styles,Shape,all elements,soft,Shape family,"Components can have one of two shape families:
Rounded corners
Cut corners
rounded shape and cut corner shape
Rounded corner
Cut corner"
Styles,Shape,all elements,soft,Customizing shapes For a style,"You can customize the shape family and size of any style level in the shape scale. Such changes affect all components mapped to that shape style, except for those with an override.
Customizing the corner size of the Medium style applies the change to all components using this style, such as cards and small FABs"
Styles,Shape,all elements,soft,For a specific component,"You can change the style level that a component is mapped to.
For example, by default, buttons are mapped to the shape style “full.” If your product requires a smaller amount of roundedness, it can be remapped to the small or medium style in shape scale.
Remapping the button shape to a different style applies the change to all buttons in the UI"
Styles,Shape,all elements,hard,Shape family,"Caution,To avoid unintended results, consider the choice of shape family and size in tandem with a component's layout and content"
Styles,Icon,Icon,hard,Design principles,"Do,Simplify icons for greater clarity and legibility"
Styles,Icon,Icon,hard,Design principles,"Don’t,Don’t be overly literal. Avoid complex icons."
Styles,Icon,Icon,hard,Design principles,"Do,Make icons graphic and bold"
Styles,Icon,Icon,hard,Design principles,"Don’t,Don’t use delicate or loose organic shapes"
Styles,Icon,Icon,hard,Design principles,"Do,Use and maintain a consistent visual style throughout one icon set"
Styles,Icon,Icon,hard,Design principles,"Don’t,Avoid mixing styles for one icon set"
Styles,Icon,Icon,hard,Design Icon sizes and layout,"Do,Icon content is limited to the 20dp x 20dp live area, with 2dp of padding around the perimeter"
Styles,Icon,Icon,hard,Design Icon sizes and layout,"Caution,If additional visual weight is needed, content may extend into the padding between the live area and the trim area"
Styles,Icon,Icon,hard,Design Icon sizes and layout,"Don’t,No parts of the icon should extend outside of the trim area"
Styles,Icon,Icon,hard,Design Grid and keyline shapes,"Do,Position icons “on pixel” within the icon grid"
Styles,Icon,Icon,hard,Design Grid and keyline shapes,"Don’t,Don’t place the icon on a coordinate that isn’t 'on pixel'"
Styles,Icon,Icon,hard,Design Icon metrics,"Caution,Overly round corners reduces the symbol’s legibility"
Styles,Icon,Icon,hard,Design Icon metrics,"Don’t,Don’t use inconsistent corner radii"
Styles,Icon,Icon,hard,Design Weight and stroke,"Don’t,Don’t use inconsistent stroke weights or rounded stroke terminals"
Styles,Icon,Icon,hard,Design Weight and stroke,"Do,Use consistent stroke weights and squared stroke terminals"
Styles,Icon,Icon,hard,Design Complex icon shapes,"Don’t,Don’t tilt, rotate, or make icons appear dimensional"
Styles,Icon,Icon,hard,Design Complex icon shapes,"Do,Make icons face forward"
Styles,Icon,Icon,hard,Applying icons Customizing Symbols,"Do,Apply weights consistently"
Styles,Icon,Icon,hard,Applying icons Customizing Symbols,"Don’t,Don't use the lightest weight for standard-size (24dp) icons. The minimum weight for the size is 200."
Styles,Icon,Icon,hard,Applying icons Customizing Symbols,"Caution,Be careful using excessive weight for standard 24dp symbols"
Styles,Icon,Icon,hard,Applying icons Customizing Symbols,"Don’t,Don’t mix different weights"
Styles,Icon,Icon,hard,Applying icons Using symbols with typography,"Don’t,Don’t use the different weights for Material Symbols and text"
Styles,Icon,Icon,hard,Applying icons Using symbols with typography,"Do,Use the same weight for Material Symbols and Google Sans family text"
Styles,Icon,Icon,hard,Applying icons Using symbols with typography,"Don’t,Don’t use the same baseline for Material Symbols and text"
Styles,Icon,Icon,hard,Applying icons Using symbols with typography,"Do,Shift down the baseline of symbols to approximately 11.5% of the type size"
Styles,Icon,Icon,hard,Applying icons Accessibility,"Caution,Use caution if icons are displayed without labels. Icon meaning should always be unambiguous and accessible for all users. Text labels can be omitted in specific circumstances where reduced visual impact is necessary."
Styles,Icon,Icon,hard,Applying icons Accessibility,"Do,Label text provides short descriptions, especially useful for navigation"
